year,quarter,data_subject_type,data_type,decision_taken,incident_category,incident_type,no_data_subjects_affected,time_taken_to_report
2021,Qtr 2,"Children, Patients","Basic personal identifiers, Data revealing racial or ethnic origin, Genetic or biometric data, Health data",No Further Action,Cyber,Brute Force,10 to 99,24 hours to 72 hours
2021,Qtr 2,Unknown,Unknown,No Further Action,Cyber,Other cyber incident,Unknown,Less than 24 hours
2021,Qtr 2,Unknown,Unknown,No Further Action,Cyber,Other cyber incident,Unknown,Less than 24 hours
2021,Qtr 2,Unknown,Unknown,No Further Action,Cyber,Other cyber incident,Unknown,Less than 24 hours
2021,Qtr 2,Unknown,Unknown,No Further Action,Cyber,Other cyber incident,Unknown,Less than 24 hours
2021,Qtr 2,Unknown,Unknown,No Further Action,Cyber,Other cyber incident,Unknown,Less than 24 hours
2021,Qtr 2,Unknown,Unknown,No Further Action,Cyber,Other cyber incident,Unknown,Less than 24 hours
2021,Qtr 2,Unknown,Unknown,No Further Action,Cyber,Other cyber incident,Unknown,Less than 24 hours
2021,Qtr 2,Unknown,Unknown,No Further Action,Cyber,Other cyber incident,Unknown,Less than 24 hours
2021,Qtr 2,Unknown,Unknown,No Further Action,Cyber,Other cyber incident,Unknown,Less than 24 hours
2021,Qtr 2,Unknown,Unknown,No Further Action,Cyber,Other cyber incident,Unknown,Less than 24 hours
2021,Qtr 2,Unknown,Unknown,No Further Action,Cyber,Other cyber incident,Unknown,Less than 24 hours
2021,Qtr 2,Unknown,Unknown,No Further Action,Cyber,Other cyber incident,Unknown,Less than 24 hours
2021,Qtr 2,Unknown,Unknown,No Further Action,Cyber,Other cyber incident,Unknown,Less than 24 hours
2021,Qtr 2,Unknown,Unknown,No Further Action,Cyber,Other cyber incident,Unknown,Less than 24 hours
2021,Qtr 2,Unknown,Unknown,No Further Action,Cyber,Other cyber incident,Unknown,Less than 24 hours
2021,Qtr 2,Patients,"Basic personal identifiers, Health data",No Further Action,Cyber,Unauthorised access,100 to 1k,24 hours to 72 hours
2021,Qtr 2,Patients,"Basic personal identifiers, Health data",No Further Action,Cyber,Unauthorised access,100 to 1k,72 hours to 1 week
2021,Qtr 2,Patients,"Basic personal identifiers, Health data",No Further Action,Cyber,Unauthorised access,10 to 99,Less than 24 hours
2021,Qtr 2,Patients,"Basic personal identifiers, Health data",No Further Action,Cyber,Unauthorised access,100 to 1k,Less than 24 hours
2021,Qtr 2,Patients,"Basic personal identifiers, Health data",No Further Action,Non Cyber,Loss/theft of paperwork or data left in insecure location,1 to 9,24 hours to 72 hours
2021,Qtr 2,Unknown,Unknown,No Further Action,Cyber,Other cyber incident,Unknown,Less than 24 hours
2021,Qtr 2,"Patients, Users","Basic personal identifiers, Health data",No Further Action,Cyber,Unauthorised access,1k to 10k,72 hours to 1 week
2021,Qtr 2,Unknown,Unknown,No Further Action,Cyber,Other cyber incident,Unknown,Less than 24 hours
2021,Qtr 2,"Employees, Patients","Basic personal identifiers, Health data",No Further Action,Cyber,Unauthorised access,1k to 10k,Less than 24 hours
