bi_reference,year,quarter,data_subject_type,data_type,decision_taken,incident_category,incident_type,no_data_subjects_affected,sector,time_taken_to_report
BI69264,2025,Qtr 2,Patients,Basic personal identifiers,Not Yet Assigned,Non Cyber,Other non-cyber incident,100 to 1k,Health,72 hours to 1 week
BI69264,2025,Qtr 2,Patients,Health data,Not Yet Assigned,Non Cyber,Other non-cyber incident,100 to 1k,Health,72 hours to 1 week
BI69264,2025,Qtr 2,Children,Basic personal identifiers,Not Yet Assigned,Non Cyber,Other non-cyber incident,100 to 1k,Health,72 hours to 1 week
BI69264,2025,Qtr 2,Children,Health data,Not Yet Assigned,Non Cyber,Other non-cyber incident,100 to 1k,Health,72 hours to 1 week
BI69269,2025,Qtr 2,Patients,Basic personal identifiers,Informal Action Taken,Cyber,Brute Force,10 to 99,Health,24 hours to 72 hours
BI69269,2025,Qtr 2,Patients,Health data,Informal Action Taken,Cyber,Brute Force,10 to 99,Health,24 hours to 72 hours
BI69269,2025,Qtr 2,Employees,Basic personal identifiers,Informal Action Taken,Cyber,Brute Force,10 to 99,Health,24 hours to 72 hours
BI69269,2025,Qtr 2,Employees,Health data,Informal Action Taken,Cyber,Brute Force,10 to 99,Health,24 hours to 72 hours
BI69273,2025,Qtr 2,Patients,Basic personal identifiers,Not Yet Assigned,Non Cyber,Data posted or faxed to incorrect recipient,1 to 9,Health,More than 1 week
BI69273,2025,Qtr 2,Patients,Health data,Not Yet Assigned,Non Cyber,Data posted or faxed to incorrect recipient,1 to 9,Health,More than 1 week
BI69274,2025,Qtr 2,Patients,Basic personal identifiers,Not Yet Assigned,Non Cyber,Other non-cyber incident,1 to 9,Health,More than 1 week
BI69274,2025,Qtr 2,Patients,Health data,Not Yet Assigned,Non Cyber,Other non-cyber incident,1 to 9,Health,More than 1 week
BI69278,2025,Qtr 2,Unknown,Health data,Informal Action Taken,Non Cyber,Failure to redact,1 to 9,Health,24 hours to 72 hours
BI69281,2025,Qtr 2,Patients,Basic personal identifiers,Informal Action Taken,Cyber,Other cyber incident,1 to 9,Health,24 hours to 72 hours
BI69281,2025,Qtr 2,Patients,Health data,Informal Action Taken,Cyber,Other cyber incident,1 to 9,Health,24 hours to 72 hours
