bi_reference,year,quarter,data_subject_type,data_type,decision_taken,incident_category,incident_type,no_data_subjects_affected,sector,time_taken_to_report
BI35822,2022,Qtr 2,Employees,Health data,Informal Action Taken,Non Cyber,Incorrect disposal of hardware,100 to 1k,Health,72 hours to 1 week
BI35825,2022,Qtr 2,Patients,Basic personal identifiers,Informal Action Taken,Non Cyber,Loss/theft of paperwork or data left in insecure location,1 to 9,Health,24 hours to 72 hours
BI35825,2022,Qtr 2,Patients,Health data,Informal Action Taken,Non Cyber,Loss/theft of paperwork or data left in insecure location,1 to 9,Health,24 hours to 72 hours
BI35847,2022,Qtr 2,Patients,Basic personal identifiers,Informal Action Taken,Non Cyber,Data emailed to incorrect recipient,1 to 9,Health,Less than 24 hours
BI35847,2022,Qtr 2,Patients,Health data,Informal Action Taken,Non Cyber,Data emailed to incorrect recipient,1 to 9,Health,Less than 24 hours
BI35849,2022,Qtr 2,Patients,Basic personal identifiers,Informal Action Taken,Non Cyber,Data posted or faxed to incorrect recipient,1 to 9,Health,Less than 24 hours
BI35849,2022,Qtr 2,Patients,Health data,Informal Action Taken,Non Cyber,Data posted or faxed to incorrect recipient,1 to 9,Health,Less than 24 hours
BI35851,2022,Qtr 2,Patients,Health data,Informal Action Taken,Non Cyber,Data emailed to incorrect recipient,1 to 9,Health,Less than 24 hours
BI35858,2022,Qtr 2,Unknown,Health data,Informal Action Taken,Non Cyber,Hardware/software misconfiguration,100 to 1k,Health,Less than 24 hours
BI35860,2022,Qtr 2,Users,Basic personal identifiers,Informal Action Taken,Non Cyber,Loss/theft of paperwork or data left in insecure location,1 to 9,Health,72 hours to 1 week
BI35860,2022,Qtr 2,Users,Data revealing racial or ethnic origin,Informal Action Taken,Non Cyber,Loss/theft of paperwork or data left in insecure location,1 to 9,Health,72 hours to 1 week
BI35860,2022,Qtr 2,Users,Health data,Informal Action Taken,Non Cyber,Loss/theft of paperwork or data left in insecure location,1 to 9,Health,72 hours to 1 week
BI35860,2022,Qtr 2,Users,Identification data,Informal Action Taken,Non Cyber,Loss/theft of paperwork or data left in insecure location,1 to 9,Health,72 hours to 1 week
BI35860,2022,Qtr 2,Users,Location data,Informal Action Taken,Non Cyber,Loss/theft of paperwork or data left in insecure location,1 to 9,Health,72 hours to 1 week
BI35860,2022,Qtr 2,Employees,Basic personal identifiers,Informal Action Taken,Non Cyber,Loss/theft of paperwork or data left in insecure location,1 to 9,Health,72 hours to 1 week
BI35860,2022,Qtr 2,Employees,Data revealing racial or ethnic origin,Informal Action Taken,Non Cyber,Loss/theft of paperwork or data left in insecure location,1 to 9,Health,72 hours to 1 week
BI35860,2022,Qtr 2,Employees,Health data,Informal Action Taken,Non Cyber,Loss/theft of paperwork or data left in insecure location,1 to 9,Health,72 hours to 1 week
BI35860,2022,Qtr 2,Employees,Identification data,Informal Action Taken,Non Cyber,Loss/theft of paperwork or data left in insecure location,1 to 9,Health,72 hours to 1 week
BI35860,2022,Qtr 2,Employees,Location data,Informal Action Taken,Non Cyber,Loss/theft of paperwork or data left in insecure location,1 to 9,Health,72 hours to 1 week
BI35860,2022,Qtr 2,Children,Basic personal identifiers,Informal Action Taken,Non Cyber,Loss/theft of paperwork or data left in insecure location,1 to 9,Health,72 hours to 1 week
BI35860,2022,Qtr 2,Children,Data revealing racial or ethnic origin,Informal Action Taken,Non Cyber,Loss/theft of paperwork or data left in insecure location,1 to 9,Health,72 hours to 1 week
BI35860,2022,Qtr 2,Children,Health data,Informal Action Taken,Non Cyber,Loss/theft of paperwork or data left in insecure location,1 to 9,Health,72 hours to 1 week
BI35860,2022,Qtr 2,Children,Identification data,Informal Action Taken,Non Cyber,Loss/theft of paperwork or data left in insecure location,1 to 9,Health,72 hours to 1 week
BI35860,2022,Qtr 2,Children,Location data,Informal Action Taken,Non Cyber,Loss/theft of paperwork or data left in insecure location,1 to 9,Health,72 hours to 1 week
BI35862,2022,Qtr 2,Patients,Basic personal identifiers,Informal Action Taken,Non Cyber,Data emailed to incorrect recipient,1 to 9,Health,More than 1 week
BI35862,2022,Qtr 2,Patients,Health data,Informal Action Taken,Non Cyber,Data emailed to incorrect recipient,1 to 9,Health,More than 1 week
BI35863,2022,Qtr 2,Patients,Basic personal identifiers,Informal Action Taken,Non Cyber,Other non-cyber incident,10 to 99,Health,Less than 24 hours
BI35863,2022,Qtr 2,Patients,Health data,Informal Action Taken,Non Cyber,Other non-cyber incident,10 to 99,Health,Less than 24 hours
BI35863,2022,Qtr 2,Employees,Basic personal identifiers,Informal Action Taken,Non Cyber,Other non-cyber incident,10 to 99,Health,Less than 24 hours
BI35863,2022,Qtr 2,Employees,Health data,Informal Action Taken,Non Cyber,Other non-cyber incident,10 to 99,Health,Less than 24 hours
BI35869,2022,Qtr 2,Patients,Basic personal identifiers,Informal Action Taken,Non Cyber,Loss/theft of paperwork or data left in insecure location,1 to 9,Health,Less than 24 hours
BI35869,2022,Qtr 2,Patients,Health data,Informal Action Taken,Non Cyber,Loss/theft of paperwork or data left in insecure location,1 to 9,Health,Less than 24 hours
BI35871,2022,Qtr 2,Patients,Health data,Informal Action Taken,Non Cyber,Loss/theft of paperwork or data left in insecure location,1 to 9,Health,72 hours to 1 week
BI35877,2022,Qtr 2,Patients,Health data,No Further Action,Non Cyber,Incorrect disposal of hardware,Unknown,Health,Less than 24 hours
BI35879,2022,Qtr 2,Vulnerable adults,Basic personal identifiers,Informal Action Taken,Non Cyber,Data emailed to incorrect recipient,10 to 99,Health,72 hours to 1 week
BI35879,2022,Qtr 2,Vulnerable adults,Health data,Informal Action Taken,Non Cyber,Data emailed to incorrect recipient,10 to 99,Health,72 hours to 1 week
BI35879,2022,Qtr 2,Patients,Basic personal identifiers,Informal Action Taken,Non Cyber,Data emailed to incorrect recipient,10 to 99,Health,72 hours to 1 week
BI35879,2022,Qtr 2,Patients,Health data,Informal Action Taken,Non Cyber,Data emailed to incorrect recipient,10 to 99,Health,72 hours to 1 week
BI35879,2022,Qtr 2,Employees,Basic personal identifiers,Informal Action Taken,Non Cyber,Data emailed to incorrect recipient,10 to 99,Health,72 hours to 1 week
BI35879,2022,Qtr 2,Employees,Health data,Informal Action Taken,Non Cyber,Data emailed to incorrect recipient,10 to 99,Health,72 hours to 1 week
BI35879,2022,Qtr 2,Children,Basic personal identifiers,Informal Action Taken,Non Cyber,Data emailed to incorrect recipient,10 to 99,Health,72 hours to 1 week
BI35879,2022,Qtr 2,Children,Health data,Informal Action Taken,Non Cyber,Data emailed to incorrect recipient,10 to 99,Health,72 hours to 1 week
BI35887,2022,Qtr 2,Patients,Basic personal identifiers,Informal Action Taken,Non Cyber,Incorrect disposal of paperwork,1 to 9,Health,72 hours to 1 week
BI35887,2022,Qtr 2,Patients,Health data,Informal Action Taken,Non Cyber,Incorrect disposal of paperwork,1 to 9,Health,72 hours to 1 week
BI35893,2022,Qtr 2,Vulnerable adults,Basic personal identifiers,No Further Action,Cyber,Unauthorised access,10 to 99,Health,24 hours to 72 hours
BI35893,2022,Qtr 2,Vulnerable adults,Data revealing racial or ethnic origin,No Further Action,Cyber,Unauthorised access,10 to 99,Health,24 hours to 72 hours
BI35893,2022,Qtr 2,Vulnerable adults,Health data,No Further Action,Cyber,Unauthorised access,10 to 99,Health,24 hours to 72 hours
BI35893,2022,Qtr 2,Vulnerable adults,Identification data,No Further Action,Cyber,Unauthorised access,10 to 99,Health,24 hours to 72 hours
BI35893,2022,Qtr 2,Customers or prospective customers,Basic personal identifiers,No Further Action,Cyber,Unauthorised access,10 to 99,Health,24 hours to 72 hours
BI35893,2022,Qtr 2,Customers or prospective customers,Data revealing racial or ethnic origin,No Further Action,Cyber,Unauthorised access,10 to 99,Health,24 hours to 72 hours
BI35893,2022,Qtr 2,Customers or prospective customers,Health data,No Further Action,Cyber,Unauthorised access,10 to 99,Health,24 hours to 72 hours
BI35893,2022,Qtr 2,Customers or prospective customers,Identification data,No Further Action,Cyber,Unauthorised access,10 to 99,Health,24 hours to 72 hours
BI35893,2022,Qtr 2,Children,Basic personal identifiers,No Further Action,Cyber,Unauthorised access,10 to 99,Health,24 hours to 72 hours
BI35893,2022,Qtr 2,Children,Data revealing racial or ethnic origin,No Further Action,Cyber,Unauthorised access,10 to 99,Health,24 hours to 72 hours
BI35893,2022,Qtr 2,Children,Health data,No Further Action,Cyber,Unauthorised access,10 to 99,Health,24 hours to 72 hours
BI35893,2022,Qtr 2,Children,Identification data,No Further Action,Cyber,Unauthorised access,10 to 99,Health,24 hours to 72 hours
BI35902,2022,Qtr 2,Patients,Basic personal identifiers,Informal Action Taken,Non Cyber,Incorrect disposal of paperwork,1 to 9,Health,More than 1 week
BI35902,2022,Qtr 2,Patients,Health data,Informal Action Taken,Non Cyber,Incorrect disposal of paperwork,1 to 9,Health,More than 1 week
BI35904,2022,Qtr 2,Patients,Basic personal identifiers,Informal Action Taken,Non Cyber,Failure to use bcc,100 to 1k,Health,More than 1 week
BI35908,2022,Qtr 2,Patients,Unknown,Informal Action Taken,Non Cyber,Other non-cyber incident,1 to 9,Health,72 hours to 1 week
BI35912,2022,Qtr 2,Unknown,Unknown,Informal Action Taken,Non Cyber,Data emailed to incorrect recipient,1 to 9,Health,24 hours to 72 hours
BI35915,2022,Qtr 2,Patients,Unknown,Informal Action Taken,Non Cyber,Loss/theft of device containing personal data,10 to 99,Health,72 hours to 1 week
BI35915,2022,Qtr 2,Children,Unknown,Informal Action Taken,Non Cyber,Loss/theft of device containing personal data,10 to 99,Health,72 hours to 1 week
BI35922,2022,Qtr 2,Patients,Basic personal identifiers,Informal Action Taken,Non Cyber,Data posted or faxed to incorrect recipient,10 to 99,Health,Less than 24 hours
BI35922,2022,Qtr 2,Patients,Health data,Informal Action Taken,Non Cyber,Data posted or faxed to incorrect recipient,10 to 99,Health,Less than 24 hours
BI35927,2022,Qtr 2,Employees,Basic personal identifiers,Informal Action Taken,Non Cyber,Unauthorised access,1 to 9,Health,24 hours to 72 hours
BI35936,2022,Qtr 2,Patients,Basic personal identifiers,No Further Action,Non Cyber,Loss/theft of paperwork or data left in insecure location,1 to 9,Health,Less than 24 hours
BI35936,2022,Qtr 2,Patients,Health data,No Further Action,Non Cyber,Loss/theft of paperwork or data left in insecure location,1 to 9,Health,Less than 24 hours
BI35939,2022,Qtr 2,Patients,Basic personal identifiers,Informal Action Taken,Non Cyber,Unauthorised access,1 to 9,Health,24 hours to 72 hours
BI35939,2022,Qtr 2,Patients,Health data,Informal Action Taken,Non Cyber,Unauthorised access,1 to 9,Health,24 hours to 72 hours
BI35942,2022,Qtr 2,Unknown,Basic personal identifiers,No Further Action,Non Cyber,Verbal disclosure of personal data,1 to 9,Health,More than 1 week
BI35942,2022,Qtr 2,Unknown,Health data,No Further Action,Non Cyber,Verbal disclosure of personal data,1 to 9,Health,More than 1 week
BI35944,2022,Qtr 2,Vulnerable adults,Basic personal identifiers,Informal Action Taken,Non Cyber,Data emailed to incorrect recipient,Unknown,Health,24 hours to 72 hours
BI35944,2022,Qtr 2,Vulnerable adults,Health data,Informal Action Taken,Non Cyber,Data emailed to incorrect recipient,Unknown,Health,24 hours to 72 hours
BI35944,2022,Qtr 2,Patients,Basic personal identifiers,Informal Action Taken,Non Cyber,Data emailed to incorrect recipient,Unknown,Health,24 hours to 72 hours
BI35944,2022,Qtr 2,Patients,Health data,Informal Action Taken,Non Cyber,Data emailed to incorrect recipient,Unknown,Health,24 hours to 72 hours
BI35946,2022,Qtr 2,Patients,Health data,Informal Action Taken,Non Cyber,Data emailed to incorrect recipient,1 to 9,Health,24 hours to 72 hours
BI35947,2022,Qtr 2,Unknown,Unknown,Informal Action Taken,Non Cyber,Other non-cyber incident,1 to 9,Health,Less than 24 hours
BI35954,2022,Qtr 2,Patients,Health data,Informal Action Taken,Non Cyber,Data emailed to incorrect recipient,1 to 9,Health,24 hours to 72 hours
BI35955,2022,Qtr 2,Patients,Unknown,Informal Action Taken,Non Cyber,Data posted or faxed to incorrect recipient,1 to 9,Health,24 hours to 72 hours
BI35973,2022,Qtr 2,Patients,Basic personal identifiers,Informal Action Taken,Non Cyber,Data posted or faxed to incorrect recipient,Unknown,Health,Less than 24 hours
BI35973,2022,Qtr 2,Patients,Health data,Informal Action Taken,Non Cyber,Data posted or faxed to incorrect recipient,Unknown,Health,Less than 24 hours
BI35974,2022,Qtr 2,Patients,Basic personal identifiers,Informal Action Taken,Non Cyber,Other non-cyber incident,1 to 9,Health,More than 1 week
BI35974,2022,Qtr 2,Patients,Health data,Informal Action Taken,Non Cyber,Other non-cyber incident,1 to 9,Health,More than 1 week
BI35979,2022,Qtr 2,Patients,Basic personal identifiers,Informal Action Taken,Non Cyber,Loss/theft of paperwork or data left in insecure location,10 to 99,Health,72 hours to 1 week
BI35979,2022,Qtr 2,Patients,Health data,Informal Action Taken,Non Cyber,Loss/theft of paperwork or data left in insecure location,10 to 99,Health,72 hours to 1 week
BI35989,2022,Qtr 2,Employees,Unknown,Informal Action Taken,Non Cyber,Unauthorised access,1 to 9,Health,More than 1 week
BI35991,2022,Qtr 2,Vulnerable adults,Basic personal identifiers,Informal Action Taken,Non Cyber,Data emailed to incorrect recipient,1 to 9,Health,24 hours to 72 hours
BI35991,2022,Qtr 2,Vulnerable adults,Health data,Informal Action Taken,Non Cyber,Data emailed to incorrect recipient,1 to 9,Health,24 hours to 72 hours
BI35991,2022,Qtr 2,Patients,Basic personal identifiers,Informal Action Taken,Non Cyber,Data emailed to incorrect recipient,1 to 9,Health,24 hours to 72 hours
BI35991,2022,Qtr 2,Patients,Health data,Informal Action Taken,Non Cyber,Data emailed to incorrect recipient,1 to 9,Health,24 hours to 72 hours
BI35992,2022,Qtr 2,Patients,Basic personal identifiers,Informal Action Taken,Non Cyber,Failure to redact,1 to 9,Health,24 hours to 72 hours
BI35992,2022,Qtr 2,Children,Basic personal identifiers,Informal Action Taken,Non Cyber,Failure to redact,1 to 9,Health,24 hours to 72 hours
BI35993,2022,Qtr 2,Unknown,Basic personal identifiers,No Further Action,Non Cyber,Failure to redact,1 to 9,Health,24 hours to 72 hours
BI35993,2022,Qtr 2,Unknown,Health data,No Further Action,Non Cyber,Failure to redact,1 to 9,Health,24 hours to 72 hours
BI36001,2022,Qtr 2,Patients,Basic personal identifiers,Informal Action Taken,Non Cyber,Other non-cyber incident,1 to 9,Health,More than 1 week
BI36001,2022,Qtr 2,Patients,Health data,Informal Action Taken,Non Cyber,Other non-cyber incident,1 to 9,Health,More than 1 week
BI36009,2022,Qtr 2,Patients,Basic personal identifiers,Informal Action Taken,Non Cyber,Failure to use bcc,100 to 1k,Health,72 hours to 1 week
BI36013,2022,Qtr 2,Patients,Basic personal identifiers,Informal Action Taken,Non Cyber,Other non-cyber incident,100 to 1k,Health,More than 1 week
BI36013,2022,Qtr 2,Patients,Health data,Informal Action Taken,Non Cyber,Other non-cyber incident,100 to 1k,Health,More than 1 week
BI36021,2022,Qtr 2,Unknown,Basic personal identifiers,Informal Action Taken,Non Cyber,Data posted or faxed to incorrect recipient,1 to 9,Health,24 hours to 72 hours
BI36021,2022,Qtr 2,Unknown,Health data,Informal Action Taken,Non Cyber,Data posted or faxed to incorrect recipient,1 to 9,Health,24 hours to 72 hours
BI36024,2022,Qtr 2,Patients,Basic personal identifiers,Informal Action Taken,Non Cyber,Other non-cyber incident,1 to 9,Health,72 hours to 1 week
BI36028,2022,Qtr 2,Unknown,Unknown,Informal Action Taken,Non Cyber,Unauthorised access,Unknown,Health,72 hours to 1 week
BI36029,2022,Qtr 2,Patients,Unknown,Informal Action Taken,Non Cyber,Failure to use bcc,10 to 99,Health,Less than 24 hours
BI36036,2022,Qtr 2,Patients,Basic personal identifiers,Informal Action Taken,Non Cyber,Data posted or faxed to incorrect recipient,1 to 9,Health,24 hours to 72 hours
BI36036,2022,Qtr 2,Patients,Health data,Informal Action Taken,Non Cyber,Data posted or faxed to incorrect recipient,1 to 9,Health,24 hours to 72 hours
BI36041,2022,Qtr 2,Unknown,Unknown,Informal Action Taken,Non Cyber,Unauthorised access,Unknown,Health,Less than 24 hours
BI36048,2022,Qtr 2,Patients,Basic personal identifiers,No Further Action,Non Cyber,Other non-cyber incident,1 to 9,Health,24 hours to 72 hours
BI36049,2022,Qtr 2,Patients,Unknown,Informal Action Taken,Non Cyber,Other non-cyber incident,1 to 9,Health,More than 1 week
BI36051,2022,Qtr 2,Patients,Unknown,Informal Action Taken,Non Cyber,Data of wrong data subject shown in client portal,1 to 9,Health,Less than 24 hours
BI36064,2022,Qtr 2,Unknown,Unknown,Informal Action Taken,Non Cyber,Failure to redact,1 to 9,Health,24 hours to 72 hours
BI36073,2022,Qtr 2,Patients,Basic personal identifiers,Informal Action Taken,Non Cyber,Unauthorised access,1 to 9,Health,24 hours to 72 hours
BI36073,2022,Qtr 2,Patients,Health data,Informal Action Taken,Non Cyber,Unauthorised access,1 to 9,Health,24 hours to 72 hours
BI36081,2022,Qtr 2,Vulnerable adults,Basic personal identifiers,Informal Action Taken,Non Cyber,Data emailed to incorrect recipient,10 to 99,Health,Less than 24 hours
BI36081,2022,Qtr 2,Employees,Basic personal identifiers,Informal Action Taken,Non Cyber,Data emailed to incorrect recipient,10 to 99,Health,Less than 24 hours
BI36081,2022,Qtr 2,Customers or prospective customers,Basic personal identifiers,Informal Action Taken,Non Cyber,Data emailed to incorrect recipient,10 to 99,Health,Less than 24 hours
BI36085,2022,Qtr 2,Unknown,Unknown,Informal Action Taken,Non Cyber,Data posted or faxed to incorrect recipient,1 to 9,Health,24 hours to 72 hours
BI36086,2022,Qtr 2,Patients,Basic personal identifiers,Informal Action Taken,Non Cyber,Data emailed to incorrect recipient,1 to 9,Health,24 hours to 72 hours
BI36088,2022,Qtr 2,Patients,Basic personal identifiers,No Further Action,Non Cyber,Loss/theft of paperwork or data left in insecure location,10 to 99,Health,72 hours to 1 week
BI36088,2022,Qtr 2,Patients,Health data,No Further Action,Non Cyber,Loss/theft of paperwork or data left in insecure location,10 to 99,Health,72 hours to 1 week
BI36089,2022,Qtr 2,Patients,Basic personal identifiers,Informal Action Taken,Non Cyber,Unauthorised access,1 to 9,Health,More than 1 week
BI36089,2022,Qtr 2,Patients,Health data,Informal Action Taken,Non Cyber,Unauthorised access,1 to 9,Health,More than 1 week
BI36089,2022,Qtr 2,Children,Basic personal identifiers,Informal Action Taken,Non Cyber,Unauthorised access,1 to 9,Health,More than 1 week
BI36089,2022,Qtr 2,Children,Health data,Informal Action Taken,Non Cyber,Unauthorised access,1 to 9,Health,More than 1 week
BI36093,2022,Qtr 2,Unknown,Basic personal identifiers,Informal Action Taken,Non Cyber,Loss/theft of paperwork or data left in insecure location,10 to 99,Health,Less than 24 hours
BI36093,2022,Qtr 2,Unknown,Health data,Informal Action Taken,Non Cyber,Loss/theft of paperwork or data left in insecure location,10 to 99,Health,Less than 24 hours
BI36094,2022,Qtr 2,Patients,Basic personal identifiers,No Further Action,Cyber,Phishing,100 to 1k,Health,Less than 24 hours
BI36094,2022,Qtr 2,Patients,Health data,No Further Action,Cyber,Phishing,100 to 1k,Health,Less than 24 hours
BI36094,2022,Qtr 2,Patients,Identification data,No Further Action,Cyber,Phishing,100 to 1k,Health,Less than 24 hours
BI36094,2022,Qtr 2,Patients,Sexual orientation data,No Further Action,Cyber,Phishing,100 to 1k,Health,Less than 24 hours
BI36094,2022,Qtr 2,Employees,Basic personal identifiers,No Further Action,Cyber,Phishing,100 to 1k,Health,Less than 24 hours
BI36094,2022,Qtr 2,Employees,Health data,No Further Action,Cyber,Phishing,100 to 1k,Health,Less than 24 hours
BI36094,2022,Qtr 2,Employees,Identification data,No Further Action,Cyber,Phishing,100 to 1k,Health,Less than 24 hours
BI36094,2022,Qtr 2,Employees,Sexual orientation data,No Further Action,Cyber,Phishing,100 to 1k,Health,Less than 24 hours
BI36094,2022,Qtr 2,Customers or prospective customers,Basic personal identifiers,No Further Action,Cyber,Phishing,100 to 1k,Health,Less than 24 hours
BI36094,2022,Qtr 2,Customers or prospective customers,Health data,No Further Action,Cyber,Phishing,100 to 1k,Health,Less than 24 hours
BI36094,2022,Qtr 2,Customers or prospective customers,Identification data,No Further Action,Cyber,Phishing,100 to 1k,Health,Less than 24 hours
BI36094,2022,Qtr 2,Customers or prospective customers,Sexual orientation data,No Further Action,Cyber,Phishing,100 to 1k,Health,Less than 24 hours
BI36096,2022,Qtr 2,Patients,Unknown,Informal Action Taken,Non Cyber,Verbal disclosure of personal data,1 to 9,Health,24 hours to 72 hours
BI36100,2022,Qtr 2,Patients,Basic personal identifiers,Informal Action Taken,Non Cyber,Loss/theft of paperwork or data left in insecure location,1 to 9,Health,24 hours to 72 hours
BI36101,2022,Qtr 2,Users,Basic personal identifiers,No Further Action,Non Cyber,Other non-cyber incident,100 to 1k,Health,More than 1 week
BI36101,2022,Qtr 2,Users,Health data,No Further Action,Non Cyber,Other non-cyber incident,100 to 1k,Health,More than 1 week
BI36101,2022,Qtr 2,Patients,Basic personal identifiers,No Further Action,Non Cyber,Other non-cyber incident,100 to 1k,Health,More than 1 week
BI36101,2022,Qtr 2,Patients,Health data,No Further Action,Non Cyber,Other non-cyber incident,100 to 1k,Health,More than 1 week
BI36103,2022,Qtr 2,Patients,Basic personal identifiers,Informal Action Taken,Non Cyber,Data of wrong data subject shown in client portal,100 to 1k,Health,More than 1 week
BI36103,2022,Qtr 2,Patients,Health data,Informal Action Taken,Non Cyber,Data of wrong data subject shown in client portal,100 to 1k,Health,More than 1 week
BI36108,2022,Qtr 2,Patients,Basic personal identifiers,Informal Action Taken,Non Cyber,Loss/theft of paperwork or data left in insecure location,1 to 9,Health,Less than 24 hours
BI36108,2022,Qtr 2,Patients,Health data,Informal Action Taken,Non Cyber,Loss/theft of paperwork or data left in insecure location,1 to 9,Health,Less than 24 hours
BI36120,2022,Qtr 2,Patients,Basic personal identifiers,Informal Action Taken,Non Cyber,Loss/theft of paperwork or data left in insecure location,10 to 99,Health,24 hours to 72 hours
BI36120,2022,Qtr 2,Patients,Health data,Informal Action Taken,Non Cyber,Loss/theft of paperwork or data left in insecure location,10 to 99,Health,24 hours to 72 hours
BI36125,2022,Qtr 2,Customers or prospective customers,Basic personal identifiers,Informal Action Taken,Non Cyber,Data emailed to incorrect recipient,1 to 9,Health,24 hours to 72 hours
BI36125,2022,Qtr 2,Customers or prospective customers,Health data,Informal Action Taken,Non Cyber,Data emailed to incorrect recipient,1 to 9,Health,24 hours to 72 hours
BI36129,2022,Qtr 2,Patients,Health data,Informal Action Taken,Non Cyber,Unauthorised access,1 to 9,Health,24 hours to 72 hours
BI36131,2022,Qtr 2,Patients,Basic personal identifiers,Informal Action Taken,Non Cyber,Loss/theft of paperwork or data left in insecure location,10 to 99,Health,72 hours to 1 week
BI36131,2022,Qtr 2,Patients,Health data,Informal Action Taken,Non Cyber,Loss/theft of paperwork or data left in insecure location,10 to 99,Health,72 hours to 1 week
BI36136,2022,Qtr 2,Patients,Unknown,No Further Action,Cyber,Phishing,10 to 99,Health,More than 1 week
BI36143,2022,Qtr 2,Patients,Basic personal identifiers,Informal Action Taken,Non Cyber,Hardware/software misconfiguration,1k to 10k,Health,24 hours to 72 hours
BI36143,2022,Qtr 2,Patients,Health data,Informal Action Taken,Non Cyber,Hardware/software misconfiguration,1k to 10k,Health,24 hours to 72 hours
BI36145,2022,Qtr 2,Patients,Basic personal identifiers,Informal Action Taken,Non Cyber,Loss/theft of paperwork or data left in insecure location,10 to 99,Health,More than 1 week
BI36145,2022,Qtr 2,Patients,Health data,Informal Action Taken,Non Cyber,Loss/theft of paperwork or data left in insecure location,10 to 99,Health,More than 1 week
BI36146,2022,Qtr 2,Patients,Basic personal identifiers,Informal Action Taken,Non Cyber,Data posted or faxed to incorrect recipient,1 to 9,Health,24 hours to 72 hours
BI36146,2022,Qtr 2,Patients,Health data,Informal Action Taken,Non Cyber,Data posted or faxed to incorrect recipient,1 to 9,Health,24 hours to 72 hours
BI36154,2022,Qtr 2,Patients,Basic personal identifiers,Informal Action Taken,Non Cyber,Unauthorised access,10 to 99,Health,24 hours to 72 hours
BI36154,2022,Qtr 2,Patients,Health data,Informal Action Taken,Non Cyber,Unauthorised access,10 to 99,Health,24 hours to 72 hours
BI36156,2022,Qtr 2,Patients,Basic personal identifiers,Informal Action Taken,Non Cyber,Other non-cyber incident,1 to 9,Health,More than 1 week
BI36156,2022,Qtr 2,Patients,Health data,Informal Action Taken,Non Cyber,Other non-cyber incident,1 to 9,Health,More than 1 week
BI36163,2022,Qtr 2,Patients,Health data,Informal Action Taken,Non Cyber,Failure to redact,1 to 9,Health,24 hours to 72 hours
BI36164,2022,Qtr 2,Customers or prospective customers,Basic personal identifiers,Informal Action Taken,Non Cyber,Data emailed to incorrect recipient,1 to 9,Health,24 hours to 72 hours
BI36168,2022,Qtr 2,Patients,Health data,Informal Action Taken,Non Cyber,Unauthorised access,10 to 99,Health,72 hours to 1 week
BI36169,2022,Qtr 2,Patients,Health data,Informal Action Taken,Non Cyber,Unauthorised access,1 to 9,Health,More than 1 week
BI36169,2022,Qtr 2,Children,Health data,Informal Action Taken,Non Cyber,Unauthorised access,1 to 9,Health,More than 1 week
BI36180,2022,Qtr 2,Customers or prospective customers,Basic personal identifiers,Informal Action Taken,Non Cyber,Data emailed to incorrect recipient,1 to 9,Health,More than 1 week
BI36185,2022,Qtr 2,Patients,Basic personal identifiers,Informal Action Taken,Non Cyber,Data emailed to incorrect recipient,1 to 9,Health,Less than 24 hours
BI36185,2022,Qtr 2,Patients,Health data,Informal Action Taken,Non Cyber,Data emailed to incorrect recipient,1 to 9,Health,Less than 24 hours
BI36196,2022,Qtr 2,Patients,Basic personal identifiers,Informal Action Taken,Cyber,Phishing,1k to 10k,Health,More than 1 week
BI36198,2022,Qtr 2,Patients,Health data,Investigation Pursued,Non Cyber,Verbal disclosure of personal data,1 to 9,Health,72 hours to 1 week
BI36199,2022,Qtr 2,Patients,Basic personal identifiers,Informal Action Taken,Non Cyber,Not Provided,1 to 9,Health,Less than 24 hours
BI36199,2022,Qtr 2,Patients,Health data,Informal Action Taken,Non Cyber,Not Provided,1 to 9,Health,Less than 24 hours
BI36203,2022,Qtr 2,Unknown,Basic personal identifiers,Informal Action Taken,Non Cyber,Loss/theft of paperwork or data left in insecure location,10 to 99,Health,72 hours to 1 week
BI36203,2022,Qtr 2,Unknown,Health data,Informal Action Taken,Non Cyber,Loss/theft of paperwork or data left in insecure location,10 to 99,Health,72 hours to 1 week
BI36209,2022,Qtr 2,Employees,Basic personal identifiers,Informal Action Taken,Non Cyber,Other non-cyber incident,Unknown,Health,More than 1 week
BI36209,2022,Qtr 2,Employees,Health data,Informal Action Taken,Non Cyber,Other non-cyber incident,Unknown,Health,More than 1 week
BI36214,2022,Qtr 2,Customers or prospective customers,Basic personal identifiers,Informal Action Taken,Non Cyber,Data emailed to incorrect recipient,1 to 9,Health,24 hours to 72 hours
BI36214,2022,Qtr 2,Customers or prospective customers,Health data,Informal Action Taken,Non Cyber,Data emailed to incorrect recipient,1 to 9,Health,24 hours to 72 hours
BI36221,2022,Qtr 2,Patients,Basic personal identifiers,Informal Action Taken,Non Cyber,Other non-cyber incident,1 to 9,Health,24 hours to 72 hours
BI36221,2022,Qtr 2,Patients,Health data,Informal Action Taken,Non Cyber,Other non-cyber incident,1 to 9,Health,24 hours to 72 hours
BI36223,2022,Qtr 2,Patients,Basic personal identifiers,Investigation Pursued,Non Cyber,Unauthorised access,1 to 9,Health,More than 1 week
BI36223,2022,Qtr 2,Patients,Health data,Investigation Pursued,Non Cyber,Unauthorised access,1 to 9,Health,More than 1 week
BI36223,2022,Qtr 2,Employees,Basic personal identifiers,Investigation Pursued,Non Cyber,Unauthorised access,1 to 9,Health,More than 1 week
